"ID";"CodeID";"Level";"Snippet"
"1";"13_DE";"Node1_02";"Should an informant stipulate, as a condition for the use of his/her report, that he/she remain unrecognisable or unendangered as the source, this is to be respected. Confidentiality can be non-binding only if the information concerns a crime and there is a duty to inform the police. Confidentiality may also be lifted if, in carefully weighing interests, important reasons of state predominate, particularly if the constitutional order is affected or jeopardised."
"2";"13_DE";"Node1_02";"Confidentiality is to be adhered to in principle."
"3";"13_DE";"Node1_02";"The Press shall respect professional secrecy, make use of the right to refuse to bear witness and shall not reveal informants' identities without their explicit permission."
"4";"13_DE";"Node1_02";"All person-related data gathered, processed and used for journalistic-editorial purposes are subject to editorial secrecy. Transfer of such data between editorial departments is permissible. It is not to be done until conclusion of a formal complaint procedure under data protection law. A data transfer is to be annotated with the remark that the data is to be edited or used only for journalistic-editorial purposes."
"5";"13_DE";"Node1_03";"Respect for the truth, preservation of human dignity and accurate informing of the public are the overriding principles of the Press. In this way, every person active in the Press preserves the standing and credibility of the media."
"6";"13_DE";"Node1_03";"Physical and mental illnesses or injuries are part of a person's private sphere. As a rule the press should refrain from reporting about illnesses or injuries without the consent of the affected persons."
"7";"13_DE";"Node1_03";"Violating people's dignity with inappropriate representations in word and image contradicts journalistic ethics."
"8";"13_DE";"Node1_03_07";"The regulations pertaining to editorial data protection apply to the Press in gathering, processing or using information about persons for journalistic-editorial purposes. From research to editing, publishing, documenting and storing these data, the Press must respect people's privacy and right to self-determination on information about them. "
"9";"13_DE";"Node1_03_07";"Personal data gathered in violation of the Press Code are to be blocked or deleted by the publication involved."
"10";"13_DE";"Node1_03_07";"All person-related data gathered, processed and used for journalistic-editorial purposes are subject to editorial secrecy. Transfer of such data between editorial departments is permissible. It is not to be done until conclusion of a formal complaint procedure under data protection law. A data transfer is to be annotated with the remark that the data is to be edited or used only for journalistic-editorial purposes."
"11";"13_DE";"Node1_03_07";"The private address as well as other private locations, such as hospitals, care facilities, rehabilitation centres enjoy special protection."
"12";"13_DE";"Node1_03_07";"If a press report has a negative effect on someone's personal rights, on request the affected person must be given information about the respective personal data stored by the responsible publication organ."
"14";"13_DE";"Node1_03_11";"In the case of relatives and other persons who are indirectly affected by a publication and have nothing to do with the actual object of reporting, the publication of names and photographs is generally impermissible."
"15";"13_DE";"Node1_03_11";"The names and photographs of missing persons may be published, however only in agreement with the responsible authorities."
"16";"13_DE";"Node1_03_11";"The publication of anniversary dates of persons who are otherwise not in the public eye requires that the editorial department confirms in advance whether those involved consent to the publication or not."
